"study","varname","dataset","concept","description","description_long","boost"
",0.12
"soep-long","jl0463","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7618}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8118}}
",0.12
"soep-long","jl0464","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7619}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8119}}
",0.12
"soep-long","jl0465","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7620}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8120}}
",0.12
"soep-long","jl0466","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7621}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8121}}
",0.12
"soep-long","jl0467","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7622}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8122}}
",0.12
"soep-long","jl0468","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7623}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8123}}
",0.12
"soep-long","jl0469","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7624}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8124}}
",0.12
"soep-long","jl0470","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7625}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8125}}
",0.12
"soep-long","jl0471","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7626}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8126}}
",0.12
"soep-long","jl0472","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7627}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8127}}
",0.12
"soep-long","jl0473","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7628}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8128}}
",0.12
"soep-long","jl0474","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7629}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8129}}
",0.12
"soep-long","jl0475","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7630}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8130}}
",0.12
"soep-long","jl0476","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7631}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8131}}
",0.12
"soep-long","jl0477","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7632}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8132}}
",0.12
"soep-long","jl0478","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7633}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8133}}
",0.12
"soep-long","jl0479","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7634}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8134}}
",0.12
"soep-long","jl0480","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7635}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8135}}
",0.12
"soep-long","jl0481","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7636}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8136}}
",0.12
"soep-long","jl0482","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7637}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8137}}
",0.12
"soep-long","jl0483","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7638}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8138}}
",0.12
"soep-long","jl0484","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7639}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8139}}
",0.12
"soep-long","jl0485","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7640}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8140}}
",0.12
"soep-long","jl0486","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7641}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8141}}
",0.12
"soep-long","jl0487","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7642}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8142}}
",0.12
"soep-long","jl0488","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7643}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8143}}
",0.12
"soep-long","jl0489","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7644}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8144}}
",0.12
"soep-long","jl0490","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7645}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8145}}
",0.12
"soep-long","jl0491","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7646}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8146}}
",0.12
"soep-long","jl0492","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7647}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8147}}
",0.12
"soep-long","jl0493","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7648}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8148}}
",0.12
"soep-long","jl0494","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7649}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8149}}
",0.12
"soep-long","jl0495","jugendl","","The variable is available for 2 years, ranging from 2015 to 2016.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj7650}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj8150}}
",0.12
"soep-long","jl0498","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_102}}
",0.06
"soep-long","jl0499","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_15a}}
",0.06
"soep-long","jl0500","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_27a}}
",0.06
"soep-long","jl0501","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_31a}}
",0.06
"soep-long","jl0502","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_31b}}
",0.06
"soep-long","jl0503","jugendl","","This variable is available for all years.","#### 2000
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2001
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2002
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2003
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2004
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2005
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2006
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2007
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2008
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2009
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2010
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2011
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2012
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2013
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2014
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_35}}

#### 2016
* Var with original data within SOEPlong: 
* SOEPcore: 
",1
"soep-long","jl0504","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_49a}}
",0.06
"soep-long","jl0505","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_62a}}
",0.06
"soep-long","jl0506","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_81a01}}
",0.06
"soep-long","jl0507","jugendl","","This variable is available for all years.","#### 2000
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2001
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2002
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2003
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2004
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2005
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2006
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2007
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2008
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2009
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2010
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2011
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2012
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2013
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2014
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_81a02}}

#### 2016
* Var with original data within SOEPlong: 
* SOEPcore: 
",1
"soep-long","jl0508","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_8201}}
",0.06
"soep-long","jl0509","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_8202}}
",0.06
"soep-long","jl0510","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_8203}}
",0.06
"soep-long","jl0511","jugendl","","This variable is available for all years.","#### 2000
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2001
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2002
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2003
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2004
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2005
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2006
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2007
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2008
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2009
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2010
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2011
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2012
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2013
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2014
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_8204}}

#### 2016
* Var with original data within SOEPlong: 
* SOEPcore: 
",1
"soep-long","jl0512","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_83a01}}
",0.06
"soep-long","jl0513","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_83a02}}
",0.06
"soep-long","jl0514","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_83b01}}
",0.06
"soep-long","jl0515","jugendl","","This variable is available for all years.","#### 2000
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2001
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2002
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2003
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2004
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2005
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2006
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2007
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2008
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2009
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2010
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2011
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2012
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2013
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2014
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_83b02}}

#### 2016
* Var with original data within SOEPlong: 
* SOEPcore: 
",1
"soep-long","jl0516","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_83c01}}
",0.06
"soep-long","jl0517","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_83c02}}
",0.06
"soep-long","jl0518","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_8701}}
",0.06
"soep-long","jl0519","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_8702}}
",0.06
"soep-long","jl0520","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_87a01}}
",0.06
"soep-long","jl0521","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_87a02}}
",0.06
"soep-long","jl0522","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_87b01}}
",0.06
"soep-long","jl0523","jugendl","","This variable is available for all years.","#### 2000
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2001
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2002
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2003
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2004
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2005
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2006
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2007
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2008
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2009
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2010
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2011
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2012
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2013
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2014
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_87b02}}

#### 2016
* Var with original data within SOEPlong: 
* SOEPcore: 
",1
"soep-long","jl0524","jugendl","","","",0.01
"soep-long","jl0525","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_buh6}}
",0.06
"soep-long","jl0526","jugendl","","This variable is available for all years.","#### 2000
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2001
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2002
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2003
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2004
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2005
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2006
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2007
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2008
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2009
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2010
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2011
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2012
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2013
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2014
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_buh8}}

#### 2016
* Var with original data within SOEPlong: 
* SOEPcore: 
",1
"soep-long","jl0527","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_buh9}}
",0.06
"soep-long","jl0528","jugendl","","This variable is only available for the year 2015.","#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj_w1}}
",0.06
"soep-long","jl0532","jugendl","","This variable is available for all years.","#### 2000
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2001
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2002
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2003
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2004
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2005
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2006
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2007
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2008
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2009
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2010
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2011
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2012
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2013
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2014
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2015
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2016
* Var with original data within SOEPlong: 
* SOEPcore: 
",1
"soep-long","jl0533","jugendl","","This variable is available for all years.","#### 2000
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2001
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2002
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2003
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2004
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2005
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2006
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2007
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2008
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2009
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2010
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2011
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2012
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2013
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2014
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2015
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2016
* Var with original data within SOEPlong: 
* SOEPcore: 
",1
"soep-long","jl1026","jugendl","","This variable is only available for the year 2000.","#### 2000
* SOEPcore: {{/soep-core/data/qjugend/qj0701}}
",0.06
"soep-long","jl1027","jugendl","","This variable is only available for the year 2000.","#### 2000
* SOEPcore: {{/soep-core/data/qjugend/qj0702}}
",0.06
"soep-long","jl1028","jugendl","","This variable is only available for the year 2000.","#### 2000
* SOEPcore: {{/soep-core/data/qjugend/qj0703}}
",0.06
"soep-long","jl1029","jugendl","","This variable is only available for the year 2000.","#### 2000
* SOEPcore: {{/soep-core/data/qjugend/qj0704}}
",0.06
"soep-long","jl1030","jugendl","","This variable is only available for the year 2000.","#### 2000
* SOEPcore: {{/soep-core/data/qjugend/qj0705}}
",0.06
"soep-long","jl1031","jugendl","","This variable is only available for the year 2000.","#### 2000
* SOEPcore: {{/soep-core/data/qjugend/qj0706}}
",0.06
"soep-long","jl1032","jugendl","","This variable is only available for the year 2000.","#### 2000
* SOEPcore: {{/soep-core/data/qjugend/qj0707}}
",0.06
"soep-long","jl1034","jugendl","","This variable is only available for the year 2000.","#### 2000
* SOEPcore: {{/soep-core/data/qjugend/qj0708}}
",0.06
"soep-long","jl1043","jugendl","","The variable is available for 16 years, ranging from 2001 to 2016.","#### 2001
* SOEPcore: {{/soep-core/data/rjugend/rj1402v}}

#### 2002
* SOEPcore: {{/soep-core/data/sjugend/sj1402v}}

#### 2003
* SOEPcore: {{/soep-core/data/tjugend/tj1402v}}

#### 2004
* SOEPcore: {{/soep-core/data/ujugend/uj1402v}}

#### 2005
* SOEPcore: {{/soep-core/data/vjugend/vj1402v}}

#### 2006
* SOEPcore: {{/soep-core/data/wjugend/wj1404}}

#### 2007
* SOEPcore: {{/soep-core/data/xjugend/xj1404}}

#### 2008
* SOEPcore: {{/soep-core/data/yjugend/yj1404}}

#### 2009
* SOEPcore: {{/soep-core/data/zjugend/zj1404}}

#### 2010
* SOEPcore: {{/soep-core/data/bajugend/baj1404}}

#### 2011
* SOEPcore: {{/soep-core/data/bbjugend/bbj1404}}

#### 2012
* SOEPcore: {{/soep-core/data/bcjugend/bcj1404}}

#### 2013
* SOEPcore: {{/soep-core/data/bdjugend/bdj1404}}

#### 2014
* SOEPcore: {{/soep-core/data/bejugend/bej1404}}

#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj1404}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj2004}}
",0.94
"soep-long","jl1249","jugendl","","The variable is available for 7 years, ranging from 2010 to 2016.","#### 2010
* SOEPcore: {{/soep-core/data/bajugend/baj7103}}

#### 2011
* SOEPcore: {{/soep-core/data/bbjugend/bbj7103}}

#### 2012
* SOEPcore: {{/soep-core/data/bcjugend/bcj7303}}

#### 2013
* SOEPcore: {{/soep-core/data/bdjugend/bdj7303}}

#### 2014
* SOEPcore: {{/soep-core/data/bejugend/bej6606}}

#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj6606}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj7106}}
",0.41
"soep-long","jl1251","jugendl","","The variable is available for 4 years, ranging from 2010 to 2013.","#### 2010
* SOEPcore: {{/soep-core/data/bajugend/baj7106}}

#### 2011
* SOEPcore: {{/soep-core/data/bbjugend/bbj7106}}

#### 2012
* SOEPcore: {{/soep-core/data/bcjugend/bcj7306}}

#### 2013
* SOEPcore: {{/soep-core/data/bdjugend/bdj7306}}
",0.24
"soep-long","jl1380","jugendl","","The variable is available for 7 years, ranging from 2010 to 2016.","#### 2010
* SOEPcore: {{/soep-core/data/bajugend/baj9117}}

#### 2011
* SOEPcore: {{/soep-core/data/bbjugend/bbj9117}}

#### 2012
* SOEPcore: {{/soep-core/data/bcjugend/bcj9317}}

#### 2013
* SOEPcore: {{/soep-core/data/bdjugend/bdj9317}}

#### 2014
* SOEPcore: {{/soep-core/data/bejugend/bej9317}}

#### 2015
* SOEPcore: {{/soep-core/data/bfjugend/bfj9317}}

#### 2016
* SOEPcore: {{/soep-core/data/bgjugend/bgj9817}}
",0.41
"soep-long","jl1400","jugendl","","The variable is available for 2 years, ranging from 2013 to 2014.","#### 2013
* SOEPcore: {{/soep-core/data/bdjugend/bdj1514}}

#### 2014
* SOEPcore: {{/soep-core/data/bejugend/bej1503}}
",0.12
"soep-long","jl1401","jugendl","","The variable is available for 2 years, ranging from 2013 to 2014.","#### 2013
* SOEPcore: {{/soep-core/data/bdjugend/bdj3707}}

#### 2014
* SOEPcore: {{/soep-core/data/bejugend/bej3707}}
",0.12
"soep-long","jl1402","jugendl","","This variable is only available for the year 2014.","#### 2013
* SOEPcore: {{/soep-core/data/bdjugend/bdj4711}}

#### 2014
* SOEPcore: {{/soep-core/data/bejugend/bej4713}}
",0.06
"soep-long","jl1403","jugendl","","This variable is available for all years.","#### 2000
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2001
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2002
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2003
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2004
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2005
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2006
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2007
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2008
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2009
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2010
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2011
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2012
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2013
* SOEPcore: {{/soep-core/data/bdjugend/bdj4712}}

#### 2014
* SOEPcore: {{/soep-core/data/bejugend/bej4714}}

#### 2015
* Var with original data within SOEPlong: 
* SOEPcore: 

#### 2016
* Var with original data within SOEPlong: 
* SOEPcore: 
",1
"soep-long","jl1404","jugendl","","The variable is available for 2 years, ranging from 2013 to 2014.","#### 2013
* SOEPcore: {{/soep-core/data/bdjugend/bdj7601}}

#### 2014
* SOEPcore: {{/soep-core/data/bejugend/bej7601}}
",0.12
"soep-long","jl1405","jugendl","","The variable is available for 2 years, ranging from 2013 to 2014.","#### 2013
* SOEPcore: {{/soep-core/data/bdjugend/bdj7602}}

#### 2014
* SOEPcore: {{/soep-core/data/bejugend/bej7602}}
",0.12
"soep-long","jl1406","jugendl","","The variable is available for 2 years, ranging from 2013 to 2014.","#### 2013
* SOEPcore: {{/soep-core/data/bdjugend/bdj7603}}

#### 2014
* SOEPcore: {{/soep-core/data/bejugend/bej7603}}
",0.12
